name,state,id,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Huertas College,NA,41,For Profit,2 Year,NA,6635,6635,6635,6635
Hult International Business School,California,6,Private,4 Year,15000,40650,55650,40650,55650
Humacao Community College,NA,41,Private,2 Year,3000,5382,8382,5382,8382
Humboldt State University,California,6,Public,4 Year,12870,7676,20546,48556,32426
Humphreys College,California,6,Private,4 Year,NA,14292,14292,14292,14292
Huntingdon College,Alabama,1,Private,4 Year,9750,27400,37150,27400,37150
Huntington College of Health Sciences,Tennessee,37,For Profit,2 Year,NA,6635,6635,6635,6635
Huntington University,Indiana,42,Private,4 Year,8668,26490,34848,26490,34848
Huntsville Bible College,Alabama,1,Private,4 Year,NA,5390,5390,5390,5390
"Hussian College, School of Art",Pennsylvania,30,For Profit,2 Year,NA,24890,24890,24890,24890
Husson University,Maine,48,Private,4 Year,9830,49490,28010,49490,28010
Huston-Tillotson University,Texas,23,Private,4 Year,7568,14346,24814,14346,24814
Hutchinson Community College,Kansas,16,Public,2 Year,5800,3000,8800,4230,10030
IBMC College: Fort Collins,Colorado,8,For Profit,2 Year,NA,13010,13010,13010,13010
IC41 Junior College,NA,41,For Profit,2 Year,4000,7010,11010,7010,11010
Idaho State University,Idaho,15,Public,4 Year,7207,7420,14627,22940,30147
Ilisagvik College,Alaska,2,Public,2 Year,13000,4300,21300,4300,21300
Illinois Central College,Illinois,36,Public,2 Year,NA,4500,4500,11340,11340
Illinois College,Illinois,36,Private,4 Year,9280,33090,42370,33090,42370
Illinois Eastern Community Colleges: Frontier Community College,Illinois,36,Public,2 Year,NA,3730,3730,11008,11008
Illinois Eastern Community Colleges: Lincoln Trail College,Illinois,36,Public,2 Year,NA,3730,3730,11008,11008
Illinois Eastern Community Colleges: Olney Central College,Illinois,36,Public,2 Year,NA,3730,3730,11008,11008
Illinois Eastern Community Colleges: Wabash Valley College,Illinois,36,Public,2 Year,NA,3730,3730,11008,11008
Illinois Institute of Technology,Illinois,36,Private,4 Year,12762,47296,60058,47296,60058
Illinois State University,Illinois,36,Public,4 Year,9850,14516,24366,26040,35890
Illinois Valley Community College,Illinois,36,Public,2 Year,NA,4015,4015,12193,12193
Illinois Wesleyan University,Illinois,36,Private,4 Year,10984,47636,58620,47636,58620
Immaculata University,Pennsylvania,30,Private,4 Year,12620,27350,39970,27350,39970
Imperial Valley College,California,6,Public,2 Year,NA,1420,1420,9010,9010
Independence Community College,Kansas,16,Public,2 Year,5168,2910,8078,3300,8468
Indian River State College,Florida,11,Public,2 Year,NA,3115,3115,12115,12115
Indiana Institute of Technology,Indiana,42,Private,4 Year,10020,26900,36920,26900,36920
Indiana State University,Indiana,42,Public,4 Year,10590,9090,48680,48836,30426
Indiana University Bloomington,Indiana,42,Public,4 Year,10465,10681,38146,35456,45938
Indiana University East,Indiana,42,Public,4 Year,NA,7344,7344,48400,48400
Indiana University Kokomo,Indiana,42,Public,4 Year,NA,7344,7344,48400,48400
Indiana University Northwest,Indiana,42,Public,4 Year,NA,7344,7344,48400,48400
Indiana University of Pennsylvania,Pennsylvania,30,Public,4 Year,12592,12979,25571,21299,29891
Indiana University South Bend,Indiana,42,Public,4 Year,7309,7344,14653,48400,26709
Indiana University Southeast,Indiana,42,Public,4 Year,6780,7344,14124,48400,26490
Indiana University-Purdue University Fort Wayne,Indiana,42,Public,4 Year,5996,8450,14446,20288,26284
Indiana University-Purdue University Indianapolis,Indiana,42,Public,4 Year,8924,9465,49389,29838,38745
Indiana Wesleyan University,Indiana,42,Private,4 Year,8312,25980,34292,25980,34292
Institute of American Indian Arts,New Mexico,19,Public,4 Year,9604,4980,14584,4980,14584
Inter American University of Puerto Rico: Aguadilla Campus,NA,41,Private,4 Year,NA,6262,6262,6262,6262
Inter American University of Puerto Rico: Arecibo Campus,NA,41,Private,4 Year,NA,6452,6452,6452,6452
Inter American University of Puerto Rico: Barranquitas Campus,NA,41,Private,4 Year,NA,6262,6262,6262,6262
Inter American University of Puerto Rico: Bayamon Campus,NA,41,Private,4 Year,7993,5898,13891,5898,13891
Inter American University of Puerto Rico: Fajardo Campus,NA,41,Private,4 Year,NA,5898,5898,5898,5898
Inter American University of Puerto Rico: Guayama Campus,NA,41,Private,4 Year,NA,6452,6452,6452,6452
Inter American University of Puerto Rico: Metropolitan Campus,NA,41,Private,4 Year,NA,7476,7476,7476,7476
Inter American University of Puerto Rico: Ponce Campus,NA,41,Private,4 Year,NA,5220,5220,5220,5220
Inter American University of Puerto Rico: San German Campus,NA,41,Private,4 Year,3900,5976,9876,5976,9876
International Baptist College,Arizona,4,Private,4 Year,6200,11250,21450,11250,21450
International College of Broadcasting,Ohio,33,For Profit,2 Year,NA,34850,34850,34850,34850
Inver Hills Community College,Minnesota,24,Public,2 Year,NA,5332,5332,5332,5332
Iona College,New York,25,Private,4 Year,15278,38812,54090,38812,54090
Iowa Central Community College,Iowa,34,Public,2 Year,6850,5490,12340,7890,14740
Iowa Lakes Community College,Iowa,34,Public,2 Year,6750,6058,12808,6388,13138
